system:index,chla_sat,date,lake,.geo
20170315T165301_20170315T165625_T15TYM,0.20500584817620757,2017-03-15,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170315T165301_20170315T165625_T16TCS,-0.8777792290395717,2017-03-15,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170328T170301_20170328T170619_T15TYM,0.018787278144922547,2017-03-28,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170328T170301_20170328T170619_T16TCS,0.0342577714065765,2017-03-28,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170507T170311_20170507T170309_T15TYM,-0.03038102730064375,2017-05-07,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170507T170311_20170507T170309_T16TCS,0.20512097380710034,2017-05-07,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170514T165321_20170514T170032_T15TYM,0.004922949112752582,2017-05-14,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170514T165321_20170514T170032_T16TCS,-0.0191138261268999,2017-05-14,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170728T164859_20170728T165317_T15TYM,-0.5564578039719814,2017-07-28,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170728T164859_20170728T165317_T16TCS,-0.7921373637659012,2017-07-28,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170815T165851_20170815T170404_T15TYM,-0.4064449788722474,2017-08-15,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170815T165851_20170815T170404_T16TCS,-0.3990500996350841,2017-08-15,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170822T164901_20170822T165920_T15TYM,-0.07094748671662016,2017-08-22,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170904T165851_20170904T170402_T15TYM,-0.1918045908952641,2017-09-04,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170911T164851_20170911T165813_T15TYM,0.05771151440035472,2017-09-11,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170911T164851_20170911T165813_T16TCS,0.10914334847675128,2017-09-11,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170919T165949_20170919T170845_T15TYM,0.033484460352327466,2017-09-19,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170919T165949_20170919T170845_T16TCS,0.09312526831890065,2017-09-19,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170924T170031_20170924T171019_T16TCS,0.07659463412977713,2017-09-24,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171009T170249_20171009T170252_T15TYM,0.9508247380581514,2017-10-09,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171009T170249_20171009T170252_T16TCS,2.1363064646372814,2017-10-09,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171110T165521_20171110T165524_T15TYM,0.0,2017-11-10,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171110T165521_20171110T165524_T16TCS,-0.585180913006456,2017-11-10,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171123T170621_20171123T170623_T15TYM,1.696374828244185,2017-11-23,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171123T170621_20171123T170623_T16TCS,1.7119140252249911,2017-11-23,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211T170431_20180211T170819_T15TYM,-0.15882248114183486,2018-02-11,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180226T170259_20180226T170931_T15TYM,-0.3707794322114563,2018-02-26,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180226T170259_20180226T170931_T16TCS,-0.2561070948007001,2018-02-26,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180228T165231_20180228T165944_T15TYM,-0.5225928699767475,2018-02-28,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180228T165231_20180228T165944_T16TCS,-0.6949610076317412,2018-02-28,CRAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
