system:index,chla_sat,date,lake,.geo
20170205T160121_20170205T160122_T18STG,6.569929766152091,2017-02-05,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170317T154951_20170317T160212_T18STG,-0.5218062021888754,2017-03-17,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170411T160129_20170411T160125_T18STG,-2.9119217454387716,2017-04-11,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170509T155911_20170509T160214_T18STG,-1.727453881340979,2017-05-09,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170529T155911_20170529T160140_T18STG,-2.8269812512709636,2017-05-29,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170610T160239_20170610T160233_T18STG,-1.340348526986472,2017-06-10,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170730T154909_20170730T160022_T18STG,-1.414265385297579,2017-07-30,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170804T154911_20170804T155116_T18STG,-1.7141701169700057,2017-08-04,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170809T160129_20170809T160127_T18STG,-1.274125281520276,2017-08-09,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170903T160131_20170903T160146_T18STG,-1.3656104164169764,2017-09-03,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170908T154859_20170908T155147_T18STG,-1.8758541819416021,2017-09-08,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170923T160121_20170923T160124_T18STG,-2.6264313848137006,2017-09-23,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170928T155019_20170928T155933_T18STG,-1.2364501287778982,2017-09-28,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171003T155051_20171003T155835_T18STG,-1.6868954633709103,2017-10-03,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171018T155239_20171018T155233_T18STG,-1.8867571620372625,2017-10-18,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171031T160359_20171031T160356_T18STG,-3.3627419352440824,2017-10-31,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171102T160131_20171102T160146_T18STG,-8.149456614206624,2017-11-02,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171120T160539_20171120T160537_T18STG,-6.21722623695179,2017-11-20,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171122T160131_20171122T160125_T18STG,-1.9352417065532992,2017-11-22,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171127T155559_20171127T155559_T18STG,-1.2580846881746572,2017-11-27,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171130T160619_20171130T160913_T18STG,0.16503799925024537,2017-11-30,FCR,"{""type"":""MultiPoint"",""coordinates"":[]}"
