system:index,chla_sat,date,lake,.geo
20170104T165702_20170104T165700_T15TYL,0.6747524065486384,2017-01-04,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170315T165301_20170315T165625_T15TYL,-0.5496467683453439,2017-03-15,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170315T165301_20170315T165625_T15TYM,-2.3511878580267327,2017-03-15,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170328T170301_20170328T170619_T15TYL,-0.09072118655807462,2017-03-28,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170328T170301_20170328T170619_T15TYM,-0.0304837197985526,2017-03-28,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170507T170311_20170507T170309_T15TYL,0.0626637414254814,2017-05-07,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170507T170311_20170507T170309_T15TYM,0.10336713413008763,2017-05-07,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170514T165321_20170514T170032_T15TYM,0.0010626694903064044,2017-05-14,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170728T164859_20170728T165317_T15TYL,0.1112179453601886,2017-07-28,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170728T164859_20170728T165317_T15TYM,0.16751691468375202,2017-07-28,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170815T165851_20170815T170404_T15TYL,-0.13462787103173354,2017-08-15,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170815T165851_20170815T170404_T15TYM,-0.1215168686374321,2017-08-15,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170822T164901_20170822T165920_T15TYM,-0.03883156749822154,2017-08-22,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170904T165851_20170904T170402_T15TYL,-0.12650768527782524,2017-09-04,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170904T165851_20170904T170402_T15TYM,-0.1497231403724451,2017-09-04,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170911T164851_20170911T165813_T15TYL,0.16328143469699855,2017-09-11,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170911T164851_20170911T165813_T15TYM,-0.1015173805900363,2017-09-11,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170919T165949_20170919T170845_T15TYL,-0.02199017195117998,2017-09-19,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170919T165949_20170919T170845_T15TYM,-0.026872727997319424,2017-09-19,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170924T170031_20170924T171019_T15TYL,-0.043353126828000695,2017-09-24,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171009T170249_20171009T170252_T15TYL,-0.13906251962153338,2017-10-09,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171009T170249_20171009T170252_T15TYM,-0.30385374514992036,2017-10-09,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171110T165521_20171110T165524_T15TYL,0.49061949197422294,2017-11-10,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171110T165521_20171110T165524_T15TYM,-0.009022225670868585,2017-11-10,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171123T170621_20171123T170623_T15TYL,3.50294432881803,2017-11-23,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171123T170621_20171123T170623_T15TYM,0.797210896712696,2017-11-23,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171130T165641_20171130T165641_T15TYL,0.45553719230854395,2017-11-30,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180127T170549_20180127T170603_T15TYL,-1.3723863226691768,2018-01-27,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211T170431_20180211T170819_T15TYL,0.9371690136180436,2018-02-11,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211T170431_20180211T170819_T15TYM,-0.8302752635917594,2018-02-11,LIRO,"{""type"":""MultiPoint"",""coordinates"":[]}"
