system:index,chla_sat,date,lake,.geo
20170509T155911_20170509T161350_T17RLN,0.1353474347857271,2017-05-09,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170509T155911_20170509T161350_T17RMN,0.17866378431857466,2017-05-09,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170901T155859_20170901T161236_T17RMN,-0.7916271079160097,2017-09-01,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170926T160021_20170926T160750_T17RLN,-0.07436825914480961,2017-09-26,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170926T160021_20170926T160750_T17RMN,-0.3999835341216366,2017-09-26,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171011T160149_20171011T161012_T17RMN,-0.9329970303355141,2017-10-11,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171031T160359_20171031T161445_T17RLN,-0.18022267771640407,2017-10-31,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171031T160359_20171031T161445_T17RMN,0.7712684815894679,2017-10-31,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171125T160611_20171125T160605_T17RLN,-0.3062007425758946,2017-11-25,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171125T160611_20171125T160605_T17RMN,-0.3779223778091923,2017-11-25,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171130T160619_20171130T160913_T17RLN,-0.3314714403813335,2017-11-30,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171130T160619_20171130T160913_T17RMN,-0.7294535340282302,2017-11-30,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171210T160639_20171210T160635_T17RLN,-0.017189400081070123,2017-12-10,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171210T160639_20171210T160635_T17RMN,-0.05640238348582237,2017-12-10,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171230T160649_20171230T160643_T17RLN,-0.5475351081304188,2017-12-30,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104T160641_20180104T160639_T17RLN,-0.002204094041345764,2018-01-04,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104T160641_20180104T160639_T17RMN,0.015198235759646376,2018-01-04,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180119T160559_20180119T160556_T17RLN,0.8748032687846776,2018-01-19,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180124T160541_20180124T160536_T17RLN,-0.007102253426067028,2018-01-24,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180124T160541_20180124T160536_T17RMN,-0.4931967441703098,2018-01-24,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180218T160309_20180218T161206_T17RLN,0.10616711685207422,2018-02-18,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180218T160309_20180218T161206_T17RMN,-0.5602725851698563,2018-02-18,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180305T160131_20180305T160854_T17RLN,-0.4141365481183994,2018-03-05,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180305T160131_20180305T160854_T17RMN,-0.032343873571366956,2018-03-05,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180315T160021_20180315T160647_T17RLN,-0.22714512980207652,2018-03-15,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180315T160021_20180315T160647_T17RMN,0.8386079724195661,2018-03-15,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180414T155901_20180414T160628_T17RLN,-0.7876152892456694,2018-04-14,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180419T155859_20180419T161103_T17RMN,2.548541607924243,2018-04-19,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180424T160001_20180424T161022_T17RMN,0.09881376228897257,2018-04-24,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180429T155859_20180429T161205_T17RLN,-0.2755987374534846,2018-04-29,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180429T155859_20180429T161205_T17RMN,-0.046859537890299625,2018-04-29,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180504T155911_20180504T160350_T17RLN,-0.022736069516370694,2018-05-04,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180504T155911_20180504T160350_T17RMN,-0.5394870626702942,2018-05-04,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180509T155859_20180509T160532_T17RLN,-0.17766408124091446,2018-05-09,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180509T155859_20180509T160532_T17RMN,-0.19442577570749311,2018-05-09,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181016T160229_20181016T160815_T17RLN,2.97713397969526E-4,2018-10-16,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181016T160229_20181016T160815_T17RMN,-0.04012213488197922,2018-10-16,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181021T160311_20181021T160935_T17RLN,-0.5370902487510462,2018-10-21,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181021T160311_20181021T160935_T17RMN,-0.4776787514747335,2018-10-21,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181031T160411_20181031T161037_T17RLN,0.37973387830731015,2018-10-31,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181031T160411_20181031T161037_T17RMN,-0.5736721921933801,2018-10-31,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181205T160639_20181205T161009_T17RLN,-0.1449924804695727,2018-12-05,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190129T160521_20190129T161214_T17RMN,-0.007752330766112686,2019-01-29,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190208T160421_20190208T161051_T17RLN,0.005444486266334667,2019-02-08,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190208T160421_20190208T161051_T17RMN,-0.22982425416429264,2019-02-08,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190404T155829_20190404T160913_T17RLN,-0.31520837041639943,2019-04-04,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190404T155829_20190404T160913_T17RMN,-0.13768682807358384,2019-04-04,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190424T155829_20190424T160927_T17RLN,-0.9525195250901,2019-04-24,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190429T155911_20190429T160305_T17RLN,-0.30684827523523117,2019-04-29,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190429T155911_20190429T160305_T17RMN,-0.28653342162332507,2019-04-29,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190514T155829_20190514T161052_T17RLN,-0.5007532003494642,2019-05-14,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190519T155911_20190519T160743_T17RLN,0.20059126507133218,2019-05-19,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190519T155911_20190519T160743_T17RMN,0.26600946693634514,2019-05-19,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190524T155829_20190524T160831_T17RLN,,2019-05-24,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190524T155829_20190524T161512_T17RLN,0.32553161755428267,2019-05-24,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190524T155829_20190524T161512_T17RMN,-0.4026218947961033,2019-05-24,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190529T155911_20190529T160405_T17RLN,0.026155020522177955,2019-05-29,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190529T155911_20190529T160405_T17RMN,-0.09412513877250296,2019-05-29,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190623T155829_20190623T160831_T17RMN,-0.3929010466882512,2019-06-23,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190703T155829_20190703T160727_T17RLN,-0.18048172600734821,2019-07-03,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190906T155901_20190906T160738_T17RLN,-0.19136645435006344,2019-09-06,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190916T155911_20190916T160741_T17RLN,-0.34889290804921724,2019-09-16,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191011T160209_20191011T160358_T17RLN,-0.7556237516186248,2019-10-11,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191011T160209_20191011T160358_T17RMN,-0.25049499534580816,2019-10-11,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191031T160409_20191031T160408_T17RMN,-0.019611142636932335,2019-10-31,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191110T160459_20191110T160501_T17RLN,-0.193770265914444,2019-11-10,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191110T160459_20191110T160501_T17RMN,-0.04197555925431914,2019-11-10,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191120T160549_20191120T160546_T17RLN,-0.31845187672222175,2019-11-20,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191120T160549_20191120T160546_T17RMN,-0.2596082279735952,2019-11-20,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191125T160611_20191125T161352_T17RLN,-0.47549679579979537,2019-11-25,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191125T160611_20191125T161352_T17RMN,-0.20952357548692338,2019-11-25,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191130T160619_20191130T160655_T17RLN,0.9194180061483448,2019-11-30,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191130T160619_20191130T160655_T17RMN,-0.7114289897302126,2019-11-30,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191205T160641_20191205T161443_T17RLN,-0.04639997973246857,2019-12-05,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191205T160641_20191205T161443_T17RMN,-0.2328422816458639,2019-12-05,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191210T160639_20191210T160735_T17RLN,0.0,2019-12-10,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191215T160651_20191215T160836_T17RLN,-0.0015928664971024118,2019-12-15,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191215T160651_20191215T160836_T17RMN,-0.0028345047772543345,2019-12-15,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191225T160651_20191225T160840_T17RLN,-0.43857975636856844,2019-12-25,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200203T160451_20200203T161119_T17RLN,-0.4703361956287538,2020-02-03,SUGG,"{""type"":""MultiPoint"",""coordinates"":[]}"
